Date,IYZ,XLB,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2009-12-31,427400,2582300,5948900,40923487,3117000,5763100,5099400,,5506900,3511000,1620400
2010-01-04,664200,7567500,16928400,92942347,7471500,8449400,8465900,,8217600,5580900,5443900
2010-01-05,1214800,8839200,17368100,96770018,8256700,19988200,11805400,,18023700,5428600,6162200
2010-01-06,804600,8092000,24351900,75492798,5356700,10024100,9267000,,12745100,4883600,4246900
2010-01-07,471900,5757300,17449500,117869112,12118200,7292400,6951500,,6563100,6114600,5736700
2010-01-08,549100,4642400,13344300,111866140,8065000,11886200,5437400,,6267600,4284800,6438000
2010-01-11,471300,9108500,19459900,72747299,11895500,15238900,6140200,,8874500,4177700,4173500
2010-01-12,1496000,13162000,21510600,137613736,12020700,9742800,6822400,,8327500,5791400,5473400
2010-01-13,469300,11943100,22137500,100839458,10978200,10053700,7926700,,7859500,8056100,4615800
2010-01-14,416400,9615500,15545400,70844542,4762700,7506600,5258900,,4816600,7801400,5640300
2010-01-15,1005500,7605300,19055200,118059301,7251000,13533300,11968800,,12710700,9691800,5889500
2010-01-19,795500,6801700,14613100,100437782,11941300,7482800,10974200,,5896400,17749900,4418500
2010-01-20,518200,11503800,15641700,99359426,9810400,14699000,8670500,,9519700,16706200,5028100
2010-01-21,966800,19816200,25206600,310007531,17492900,12803400,9044700,,12905300,15057200,6786600
2010-01-22,641400,20046900,23028600,260932239,16216200,33701200,9082400,,12703100,13221000,10092100
2010-01-25,341700,10305100,15901200,179396215,12695500,33340100,6078200,,7476800,7485600,5311600
2010-01-26,1858100,16783900,21515300,151799780,12708200,16125300,8116700,,7540900,9292600,5506900
2010-01-27,531500,19708800,26616700,254674696,22437800,17685000,12558400,,14298100,13238800,7041800
2010-01-28,711200,16370400,34430700,275452007,21371000,23139300,14181700,,14062200,12890200,6291600
2010-01-29,580700,16120700,32802700,222839929,17136200,26897400,8930500,,9572800,11902000,7362200
2010-02-01,561000,17273000,21813300,155187738,16144100,19207500,9016100,,6682900,6463000,8877100
2010-02-02,618300,16039700,22250800,135155306,20403200,13695600,7433200,,6553600,9894100,5493700
2010-02-03,279400,18106800,19749300,131388692,13675400,14783200,6566900,,3982400,5967400,4863400
2010-02-04,1070500,22809000,37173200,266891017,20628100,16489100,10827300,,7240800,10027700,10126200
2010-02-05,1481000,32249000,46378400,315216015,30821300,23253700,13527400,,9988300,14325900,8303900
2010-02-08,1624500,20472300,24115100,132199183,17888900,22943800,5150900,,5123500,6971500,6376900
2010-02-09,849500,28744000,33558100,190172389,22723500,15887400,7456500,,8715300,8632900,6904900
2010-02-10,375600,21552600,24182300,155220729,12709800,10423400,6364600,,6572200,7047300,5566300
2010-02-11,337800,19472100,22944500,92212240,11507900,15174800,5879800,,8110000,4335600,5827600
2010-02-12,376600,19623300,19833900,125390768,16638900,15143000,8895400,,10062300,6966800,6334400
2010-02-16,323500,10514200,19834900,134800901,10497000,10233300,7113900,,6014400,5786100,4520900
2010-02-17,752600,29395400,18137800,81067751,14974300,8903300,7493600,,6447600,10161600,4630800
2010-02-18,636000,19628600,16572700,73617370,7602300,5763800,7539300,,5526900,5326600,5917600
2010-02-19,364300,15213500,16498300,72633555,12076500,6767800,4443900,,5596600,4369300,5750000
2010-02-22,511000,11496900,17349700,86110666,7382700,7037300,4414400,,5657700,6989700,3557200
2010-02-23,809900,20080200,21101200,144519031,16110200,10485700,8464300,,5544300,4313800,5725300
2010-02-24,560700,15965400,17630300,87297473,9011200,7539000,4147700,,4990800,4352100,6336000
2010-02-25,323700,20459000,20948100,130407585,12357000,11657500,6443300,,7381400,5437900,5719000
2010-02-26,167100,15333400,17246800,129857821,9004200,9702000,5805900,,8315700,8794500,6311200
2010-03-01,271900,19751400,13966000,65465319,11493900,6421800,4360200,,4933600,6249900,8155100
2010-03-02,266200,19429500,16746300,71151554,7327500,7011900,14652000,,4715500,5321100,11935500
2010-03-03,205100,14108200,16767300,69710915,5641200,8331800,7569800,,3626700,5066800,5254900
2010-03-04,185200,13374000,16331000,65092695,7479600,3623800,5479500,,5410800,10135600,4601100
2010-03-05,429200,11670300,15335200,99635663,9905300,7047900,5123200,,5190500,5832200,4801600
2010-03-08,459400,14462900,12612000,66161942,6773200,5859400,2690800,,3484400,4370700,4498300
2010-03-09,341700,15458400,16703800,110608058,7609900,12001900,4602700,,3937200,4838900,5552400
2010-03-10,215700,20825100,17372200,123834045,7923000,16908500,4573000,,3848200,4063400,5215900
2010-03-11,469000,14517300,13033300,75285990,7902700,5453700,6084000,,3664800,6033900,5052100
2010-03-12,295700,11531800,13659800,125183468,9897200,7459200,14073100,,5719300,4899700,3636900
2010-03-15,605400,9495400,18373600,86475904,13020600,8782000,4104900,,3791900,5500100,4926100
2010-03-16,508300,13585800,19161300,92828356,14118500,6614800,5360500,,5529200,5494000,5085500
2010-03-17,1067000,8827300,21671800,113668817,10825000,9810500,3955000,,5891100,11159700,5350500
2010-03-18,511600,12124100,19726900,91978843,10298400,4501600,4596000,,4317100,7125700,6316200
2010-03-19,407100,10626400,22412400,110142617,8777800,9043000,4385200,,5766000,8386700,4925400
2010-03-22,505300,11267200,19856500,78909193,6434400,8430800,3038800,,5110200,7909200,5077400
2010-03-23,344600,14731300,17420700,79992227,8871300,5978400,5327400,,5823300,5713500,6255200
2010-03-24,219900,8452400,20747000,86346279,8390200,5877100,3325600,,6599400,6315000,5829200
2010-03-25,348500,19040200,22123000,150906813,10004200,8330200,3843500,,10484100,5120600,5544900
2010-03-26,197400,15472400,21493900,218970526,13362400,8580600,3289300,,8272600,6811000,6112800
2010-03-29,204500,8591700,19476000,76076908,17198200,7747200,6690800,,8611300,4818700,5478400
2010-03-30,362400,8463200,13057800,59183033,10610500,5314500,3458100,,5566000,3440100,4150200
2010-03-31,330600,7774600,15167700,72467985,11457200,4678200,4757200,,6036900,4834400,8236200
2010-04-01,683100,7970900,17990100,59488321,12537700,9106700,4442600,,5285500,5602900,5909000
2010-04-05,191100,6589300,17455700,55300582,11007700,4849600,3603500,,3550200,4655600,5628800
2010-04-06,341900,8607500,13535800,63364125,9108500,5071900,3965600,,4025600,3978900,3415300
2010-04-07,991000,10378200,19535800,91544300,10235200,5710300,3591200,,5835400,4733200,4767700
2010-04-08,404100,8287600,19459700,86447591,9100600,8455200,2570500,,4773900,4561700,8560900
2010-04-09,205100,8372900,17488600,64967625,6284600,5489300,3339000,,6605700,4155000,4365600
2010-04-12,137400,5752400,15027800,56718325,6771300,4160400,4090000,,4633700,4513500,3807500
2010-04-13,173200,7053700,13855500,85280479,8688200,5938600,3045800,,5240600,7279200,5874200
2010-04-14,198100,7314100,14585600,155369926,13028000,14981300,3626000,,4773200,6331200,5078700
2010-04-15,454100,7527500,13947200,101626682,6788800,9490200,3876300,,4765700,5119600,6723300
2010-04-16,339400,16872600,36664200,468533372,26511600,15201200,6525100,,7682600,8928300,12105400
2010-04-19,520200,11292900,21149100,319699563,16021200,8766800,4791100,,5285500,11270000,9300300
2010-04-20,191200,5805300,19666600,151176894,13103000,6943500,5377800,,3634100,5741100,9344300
2010-04-21,2677700,11032000,18571600,210131946,19373000,9400300,5605500,,5036400,13931400,11293200
2010-04-22,381000,5921500,10687000,123733596,11770200,4160500,2422800,,2047400,4291800,3362200
2010-04-23,312300,9846000,26010900,109054906,15681200,12870200,4651200,,4489800,10974900,6154100
2010-04-26,485200,7025100,17262800,128910443,13312200,9812900,4452200,,5645500,7321500,7600100
2010-04-27,264800,16039100,41402400,289883143,31528700,28249000,8249300,,6357200,10692000,17206800
2010-04-28,330700,16037700,23095000,194917032,17520400,12760700,5162100,,6939700,10333300,10607100
2010-04-29,201200,10019000,28860700,153177515,14211400,9053600,4095500,,3279000,10236400,8474500
2010-04-30,430200,10940900,22916500,206146707,18401800,10547600,7474600,,4991500,12506600,10761300
2010-05-03,286800,11190200,16689900,110817944,16977700,6884500,3372800,,5653700,5629700,7932600
2010-05-04,559000,26987000,30584400,195182313,24814700,14840300,12393300,,9340800,14483400,15789800
2010-05-05,585900,17603200,35206500,227201362,28450700,13465000,9048500,,9189500,9627700,26340900
