Date,IYZ,XLB,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2009-12-28,427400.0,2582300.0,5948900.0,40923487.0,3117000.0,5763100.0,5099400.0,,5506900.0,3511000.0,1620400.0
2010-01-04,3704600.0,34898400.0,89442200.0,494940415.0,41268100.0,57640300.0,41927200.0,,51817100.0,26292500.0,28027700.0
2010-01-11,3858500.0,51434400.0,97708600.0,500104336.0,46908100.0,56075300.0,38117000.0,,42588800.0,35518400.0,25792500.0
2010-01-18,2921900.0,58168600.0,78490000.0,770736978.0,55460800.0,68686400.0,37771800.0,,41024500.0,62734300.0,26325300.0
2010-01-25,4023200.0,79288900.0,131266600.0,1084162627.0,86348700.0,117187100.0,49865500.0,,52950800.0,54809200.0,31514100.0
2010-02-01,4010200.0,106477500.0,147365000.0,1003838768.0,101672100.0,87429100.0,47370900.0,,34448000.0,46678100.0,37664300.0
2010-02-08,3564000.0,109864300.0,124633900.0,695195309.0,81469000.0,79572400.0,33747200.0,,38583300.0,33954100.0,31010100.0
2010-02-15,2076400.0,74751700.0,71043700.0,362119577.0,45150100.0,31668200.0,26590700.0,,23585500.0,25643600.0,20819300.0
2010-02-22,2372400.0,83334900.0,94276100.0,578192576.0,53865300.0,46421500.0,29275600.0,,31889900.0,29888000.0,27648700.0
2010-03-01,1357600.0,78333400.0,79145800.0,371056146.0,41847500.0,32437200.0,37184700.0,,23877100.0,32605600.0,34748200.0
2010-03-08,1781500.0,76795500.0,73381100.0,501073503.0,40106000.0,47682700.0,32023600.0,,20653900.0,24206600.0,23955600.0
2010-03-15,3099400.0,54659000.0,101346000.0,495094537.0,57040300.0,38751900.0,22401600.0,,25295300.0,37666200.0,26603700.0
2010-03-19,,,,,,,,,,,
2010-03-22,1615700.0,68963500.0,101641100.0,615125038.0,47062500.0,37197100.0,18824600.0,,36289600.0,31869300.0,28819500.0
2010-03-25,,,,,,,,,,,
2010-03-29,1580600.0,32800400.0,65691600.0,267216247.0,51803600.0,26846600.0,19348700.0,,25499700.0,18696100.0,23773800.0
2010-04-05,2133200.0,42235500.0,87475600.0,361624223.0,45736600.0,29576300.0,17069800.0,,24790800.0,22084400.0,26738300.0
2010-04-12,1302200.0,44520300.0,94080300.0,867528784.0,61787900.0,49771700.0,21163200.0,,27095800.0,32171800.0,33589100.0
2010-04-19,4082400.0,43897700.0,96085200.0,913796905.0,75948600.0,42141300.0,22848400.0,,20493200.0,46209200.0,39454100.0
2010-04-26,1712100.0,60061800.0,133537400.0,973034840.0,94974500.0,70423800.0,29433700.0,,27212900.0,51089800.0,54649800.0
2010-05-03,3013900.0,110548800.0,179172400.0,1352355181.0,170540200.0,85934300.0,46962400.0,,60027400.0,69570600.0,110618100.0
2010-05-10,3726400.0,78928400.0,120874600.0,781266707.0,113426500.0,76001700.0,31502100.0,,36553100.0,48529900.0,63983800.0
2010-05-17,4019800.0,113066300.0,177749600.0,1264406141.0,190158000.0,105065800.0,57165700.0,,45915700.0,68618700.0,82754200.0
2010-05-24,2768900.0,75258000.0,156944700.0,796550309.0,129604700.0,86810200.0,49297800.0,,40657600.0,62083000.0,63584000.0
2010-05-31,2372900.0,52519500.0,127545100.0,472363998.0,96682800.0,54693000.0,32554800.0,,32817100.0,41621100.0,41921400.0
2010-06-07,2267600.0,66955500.0,131055600.0,667708434.0,132943500.0,62120000.0,42325200.0,,37023400.0,42488300.0,56030600.0
2010-06-14,2900400.0,45659000.0,86393200.0,483930228.0,90028500.0,49342300.0,28600400.0,,28674800.0,29588200.0,39388900.0
2010-06-18,,,,,,,,,,,
2010-06-21,2123800.0,61823600.0,93409300.0,710120200.0,89646900.0,59265000.0,34584700.0,,40606300.0,39747300.0,54466000.0
2010-06-24,,,,,,,,,,,
2010-06-28,4406100.0,66551000.0,92362000.0,687635370.0,109464500.0,74013600.0,39301800.0,,37712500.0,64585800.0,59856500.0
2010-07-05,3771600.0,40298100.0,60192100.0,466114210.0,63070300.0,44751100.0,26658600.0,,29880700.0,31888600.0,38009700.0
2010-07-12,2574100.0,49491900.0,67355200.0,558788199.0,90927400.0,58915600.0,26496900.0,,35291800.0,30808400.0,45928500.0
2010-07-19,2034900.0,58437600.0,92821300.0,517028372.0,116223600.0,61722400.0,42323500.0,,32974100.0,47273300.0,44396400.0
2010-07-26,1803800.0,44418700.0,65498800.0,432186990.0,81651100.0,47151100.0,54101600.0,,52202700.0,44229600.0,40163500.0
2010-08-02,3450100.0,47385300.0,81967300.0,436393193.0,70121000.0,56467500.0,46231400.0,,26987000.0,44636600.0,35885300.0
2010-08-09,2403800.0,54080800.0,62159500.0,401037272.0,81407700.0,64148200.0,31321900.0,,35789200.0,39864900.0,35930400.0
2010-08-16,3061700.0,55000700.0,75920800.0,422095498.0,69615400.0,63112800.0,29496400.0,,54138700.0,30577000.0,32031700.0
2010-08-23,3389400.0,54947300.0,72936800.0,468957329.0,112662900.0,54973300.0,36524600.0,,46717600.0,43163100.0,42919800.0
